csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
76,Long Phước - Bến xe Miền Đông mới,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,23.80 km,30 chỗ,04:45 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",156 chuyến/ngày,60 phút,8 - 20 phút
77,Đồng Hòa - Cần Thạnh,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.30 km,30 chỗ,05:00 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",90 chuyến/ngày,35 phút,10 - 30 phút
78,Bến xe buýt Thới An - Ngã ba Giồng - Cầu Lớn,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,18.50 km,55 chỗ,05:00 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",100 chuyến/ngày,60 phút,15 - 20 phút
79,Bến xe Củ Chi - Đền Bến Dược,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,25.00 km,55 chỗ,05:00 - 20:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",80 chuyến/ngày,45 phút,15 - 30 phút
81,Bến xe buýt Chợ Lớn - Lê Minh Xuân,"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935",Phổ thông - Có trợ giá,22.40 km,47 chỗ,04:15 - 19:50,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",260 chuyến/ngày,65 phút,6 - 15 phút
83,Ben Xe Cu Chi Cau Thay Cai,(08) 37.130.711,Phổ thông - Có trợ giá,"5,8",40 chỗ,05:00 - 19:00,,120 chuyến/ngày,15 phút,10 - 20 phút
84,Bến xe buýt Chợ Lớn - Tân Túc,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,17.30 km,55 chỗ,04:40 - 19:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",120 chuyến/ngày,47 phút,12 - 20 phút
85,Bến xe An Sương - Khu công nghiệp Nhị Xuân,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,14.86 km,55 chỗ,04:35 - 20:30,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 112,500 VNĐ",128 chuyến/ngày,35 phút,10 - 20 phút
86,Bến Thành - Đại học Tôn Đức Thắng - Nhơn Đức,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,15.15 km,55 chỗ,05:00 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",110 chuyến/ngày,62 phút,12 - 20 phút
87,Bến xe Củ Chi - An Nhơn Tây,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,20.80 km,30 chỗ,05:00 - 20:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",116 chuyến/ngày,40 phút,10 - 20 phút
