Key,RouteNo,RouteName,RouteVarShortName,StartStop,EndStop,Outbound,RunningTime
49_1,28,Lượt đi: Bến Thành - Chợ Xuân Thới Thượng,Chợ Xuân Thới Thượng,TĐH xe buýt Sài Gòn,Xuân Thới Thượng,TRUE,80
49_1,28,Lượt về: Chợ Xuân Thới Thượng - Bến Thành,Bến Thành,Xuân Thới Thượng,TĐH xe buýt Sài Gòn,FALSE,80
50_1,29,Lượt đi: Bến Phà Cát Lái - Chợ Nông Sản Thủ Đức,Chợ Nông Sản Thủ Đức,Cát Lái,Chợ nông sản Thủ Đức,TRUE,60
50_1,29,Lượt về: Chợ Nông Sản Thủ Đức - Bến Phà Cát Lái,Bến Phà Cát Lái,Chợ nông sản Thủ Đức,Cát Lái,FALSE,60
51_1,30,Cư xá Nhiêu Lộc - Đường nội bộ Đại học Quốc gia,Đại học Quốc tế,Cư xá Nhiêu Lộc,Đường nội bộ Đại học Quốc gia,TRUE,85
51_1,30,Đường nội bộ Đại học Quốc gia - Cư xá Nhiêu Lộc,Chợ Tân Hương,Đường nội bộ Đại học Quốc gia,Cư xá Nhiêu Lộc,FALSE,85
52_1,31,Lượt đi: Khu dân cư Tân Quy Đông - Khu dân cư Bình Lợi,Khu dân cư Bình Lợi,Khu dân cư Tân Quy Đông,Khu dân cư Bình Lợi,TRUE,70
52_1,31,Lượt về: Khu dân cư Bình Lợi - Khu dân cư Tân Quy Đông,Khu dân cư Tân Quy,Khu dân cư Bình Lợi,Khu dân cư Tân Quy Đông,FALSE,70
53_1,32,lượt đi,Bến Xe Ngã Tư Ga,Bến xe Miền Tây,Bến xe Ngã tư Ga,TRUE,75
53_1,32,lượt về,Bến Xe Miền Tây,Bến xe Ngã tư Ga,Bến xe Miền Tây,FALSE,75
54_1,33,Lượt đi,Đại học Quốc Gia,Bến xe An Sương,Bến Xe Buýt ÐH Quốc Gia,TRUE,44
54_1,33,Lượt về,Bến Xe An Sương,Bến Xe Buýt ÐH Quốc Gia,Bến xe An Sương,FALSE,44
55_1,34,Lượt đi: Bến Thành - ĐH Công nghệ SG,Đại Học Công Nghệ Sài Gòn,TĐH xe buýt Sài Gòn,Công viên Đồng Diều,TRUE,55
55_1,34,Lượt về: ĐH Công nghệ SG - Bến Thành,Bến Thành,Công viên Đồng Diều,TĐH xe buýt Sài Gòn,FALSE,55
56_1,35,Lượt đi: Bến xe buýt Hoàng Sa - Nguyễn Văn Hưởng,Quận 2,Bến xe buýt Hoàng Sa,Làng báo chí,TRUE,55
56_1,35,Lượt về: Nguyễn Văn Hưởng - Bến xe buýt Hoàng Sa,Tuyến xe buýt Quận 1,Làng báo chí,Bến xe buýt Hoàng Sa,FALSE,55
57_1,36,Lượt đi,Thới An,TĐH xe buýt Sài Gòn,Bãi xe buýt Thới An,TRUE,60
57_1,36,Lượt về,Bến Thành,Bãi xe buýt Thới An,TĐH xe buýt Sài Gòn,FALSE,60
58_1,37,Lượt đi: Cảng Quận 4 - Nhơn Đức,Nhơn Đức,Cảng Quận 4,Nhơn Đức,TRUE,60
58_1,37,Lượt về: Nhơn Đức - Cảng Quận 4,Cảng Quận 4,Nhơn Đức,Cảng Quận 4,FALSE,60
59_1,38,Lượt đi,Đầm Sen,Khu dân cư Tân Quy Đông,BÃI XE BUÝT ĐẦM SEN,TRUE,60
59_1,38,Lượt về,KDC Tân Quy,BÃI XE BUÝT ĐẦM SEN,Khu dân cư Tân Quy Đông,FALSE,60
60_1,39,Lượt đi,Bến Xe Miền Tây,TĐH xe buýt Sài Gòn,Bến xe Miền Tây,TRUE,45
60_1,39,Lượt về,Bến Thành,Bến xe Miền Tây,TĐH xe buýt Sài Gòn,FALSE,45
61_1,40,Lượt đi,Bến xe Ngã Tư Ga,Bến xe Miền Đông,Bến xe Ngã tư Ga,TRUE,35
