RouteKey,VariantNumber,AddressNo,Code,Lat,Lng,Name,Routes,Search,Status,StopID,StopType,Street,hasRamp,isWheelChair
133_1,266,131,Q1 075,10.776.052,106.698.647,Tòa Án Thành Phố,"04, 109, 18, 31, 35, 36, 42, 52, 93",TATP 131 NKKN,Đang khai thác,200200,Nhà chờ,Nam Kỳ Khởi Nghĩa,No,No
133_1,266,Đối diện 96A,Q1 076,10.773.957,106.699.722,Chùa Ông,"04, 109, 18, 31, 35, 36, 42, 52, 93",CO Dd96A NKKN,Đang khai thác,200199,Trụ dừng,Nam Kỳ Khởi Nghĩa,No,No
133_1,266,Đối diện 86,Q1 077,10.771.416,106.700.851,Trường CĐKT Cao Thắng,"04, 109, 18, 31, 35, 93",TCCT Dd86 NKKN,Đang khai thác,200201,Trụ dừng,Nam Kỳ Khởi Nghĩa,No,No
133_1,266,136,Q1 023,10.771.163,106.699.356,Công ty Đường sắt,"01, 02, 03, 04, 109, 12, 18, 19, 31, 35, 45, 53, 56, 61-6, 75, 88, 93",CtDs 136 HN,Đang khai thác,20082,Nhà chờ,Hàm Nghi,No,No
133_1,266,Bến Thành,Q1TC1A,10.770.896,10.669.854,Bến Thành A,"02, 18, 31, 36, 39, 42, 53, 86, 88, 93, 96",BTA BT PNL,Đang khai thác,20081,Bến xe,Phạm Ngũ Lão,Yes,Yes
133_1,266,Đối diện 103,Q1 044,10.769.773,106.695.839,Trường Ernst Thalmann,"02, 03, 04, 102, 109, 11, 12, 140, 18, 19, 20, 31, 34, 36, 39, 46, 52, 61-6, 65, 72, 75, 88, 93, 96, C010",TET Dd103 PNL,Đang khai thác,20083,Nhà chờ,Phạm Ngũ Lão,No,No
133_1,266,Đối diện 171,Q1 045,10.769.035,106.693.983,Đề Thám,"03, 04, 102, 109, 12, 140, 149, 18, 19, 20, 28, 34, 36, 39, 42, 52, 61-6, 65, 69, 72, 75, 88, 93, 96",DT Dd171 PNL,Đang khai thác,200203,Nhà chờ,Phạm Ngũ Lão,No,No
133_1,266,TĐH xe buýt Sài Gòn- CV 23/9,BX 01,10.767.676,106.689.362,TĐH xe buýt Sài Gòn,"03, 04, 102, 109, 12, 120, 13, 140, 149, 18, 19, 20, 27, 28, 34, 36, 39, 42, 52, 61-6, 65, 69, 72, 75, 86, 88, 93, 96",TxbSG TxbSGC23/9 LL,Đang khai thác,20035,Bến xe,Lê Lai,Yes,Yes
134_1,267,GA HKXB CHO LON,BX14,10.751.253.128.052,10.665.256.500.244,Bến xe Chợ Lớn,"01, 06, 07, 09, 150, 17, 23, 47, 54, 56, 61, 62-10, 62-2, 62-7, 62-8, 81, 94",BxCL GHCL LQS,Đang khai thác,1008,Bến xe,Lê Quang Sung,Yes,Yes
134_1,267,201A,Q5 043,10.758.079,106.660.128,Bệnh viện Chợ Rẫy,"05, 11, 119, 45, 62, 66, 94, 96",BvCR 201A NCT,Đang khai thác,100281,Nhà chờ,Nguyễn Chí Thanh,No,No
134_1,267,192,Q10 052,1.076.523,106.659.763,Điện Lực Phú Thọ,"08, 103, 66, 94",DLPT 192 LTK,Đang khai thác,100546,Trụ dừng,Lý Thường Kiệt,No,No
134_1,267,268,Q10 055,10.772.603,106.657.698,Đại Học Bách Khoa,"08, 50, 59, 66, 94",DHBK 268 LTK,Đang khai thác,100506,Nhà chờ,Lý Thường Kiệt,No,No
134_1,267,151A,QTB 025,10.784.002,106.654.431,Trạm Cây xăng số 9,"08, 119, 50, 59, 66, 94",TCxs9 151A LTK,Đang khai thác,100551,Nhà chờ,Lý Thường Kiệt,No,No
134_1,267,20 (B9),QTB 064,10.796.122,106.655.145,Hội Chợ Triển lãm Tân Bình,"08, 103, 119, 13, 145, 148, 149, 30, 50, 51, 59, 64, 65, 66, 94",HCTlTB 20( XD,Đang khai thác,100604,Trụ dừng,Xuân Diệu,No,No
134_1,267,162T,QTB 069,10.796.053,106.647.747,Hoàng Hoa Thám,"13, 149, 30, 51, 64, 65, 66, 94",HHT 162T TC,Đang khai thác,1001301,Nhà chờ,Trường Chinh,No,No
134_1,267,638,QTB 073,10.804.732,106.635.629,Tân Kỳ Tân Quý,"13, 23, 27, 62, 65, 66, 94",TKTQ 638 TC,Đang khai thác,1001302,Biển treo,Trường Chinh,No,No
134_1,267,906,QTB 079,10.821.644,106.630.447,Khu Công Nghiệp tân Bình,"04, 104, 13, 145, 23, 27, 32, 41, 61-8, 62, 65, 66, 94, 95",KCNtB 906 TC,Đang khai thác,100271,Nhà chờ,Trường Chinh,No,No
134_1,267,189/4,Q12 129,1.082.868,106.624.594,Siêu thị Chợ Lớn,"04, 104, 13, 145, 27, 41, 65, 66, 94",StCL 189/4 TC,Đang khai thác,100273,Nhà chờ,Trường Chinh,No,No
134_1,267,Trung tâm văn hóa Quận 12,Q12 127,1.085.466,106.607.863,Trung tâm văn hóa Quận 12,"122, 13, 145, 24, 71, 74, 85, 94",TtvhQ12 TtvhQ12 Ql22,Đang khai thác,1001152,Nhà chờ,Quốc lộ 22,No,No
134_1,267,44A,HHM 024,10.865.945,106.599.972,Trường học Tân Xuân,"122, 74, 85, 94",ThTX 44A Ql22,Đang khai thác,1001155,Trụ dừng,Quốc lộ 22,No,No
134_1,267,3/19,HHM 027,10.875.053,106.593.626,Ngã 3 Bùi Môn,"122, 13, 74, 85, 94",N3BM 3/19 Ql22,Đang khai thác,1001160,Trụ dừng,Quốc lộ 22,No,No
134_1,267,206,HHM 030,10.884.615,106.586.732,Ngã tư Hóc Môn,"13, 24, 74, 94",NtHM 206 Ql22,Đang khai thác,1001303,Trụ dừng,Quốc lộ 22,No,No
134_1,267,2/63,HHM 034,10.899.733,106.576.191,Ngã 3 Hồng Châu,"13, 74, 94",N3HC 2/63 Ql22,Đang khai thác,1001305,Trụ dừng,Quốc lộ 22,No,No
134_1,267,Công ty thoát nước đô thị,HHM 037,10.911.764,106.567.791,Công ty thoát nước đô thị,"74, 94",Cttndt Cttndt Ql22,Đang khai thác,1001304,Trụ dừng,Quốc lộ 22,No,No
134_1,267,G68A,HHM 055,1.085.554,106.606.779,Chùa Linh Sơn,"122, 74, 85, 94",CLS G Ql22,Đang khai thác,1003635,Trụ dừng,Quốc lộ 22,No,No
134_1,267,102,HCC 003,10.931.343,106.553.714,Chợ chiều Tân Phú Trung,"13, 74, 94",CcTPT 102 Ql22,Đang khai thác,1001307,Trụ dừng,Quốc lộ 22,No,No
134_1,267,Trường Tân Phú Trung,HCC 006,10.939.433,106.540.335,Trường Tân Phú Trung,"13, 74, 94",TTPT TTPT Ql22,Đang khai thác,1001306,Nhà chờ,Quốc lộ 22,No,No
134_1,267,40,HCC 009,10.947.133,106.524.635,Ngã tư Quân đội,"13, 74, 94",NtQd 40 Ql22,Đang khai thác,1001309,Ô sơn,Quốc lộ 22,No,No
134_1,267,270,HCC 012,1.095.705,106.509.834,Công ty Sài Gòn Cáp,"74, 94",CtSGC 270 Ql22,Đang khai thác,1001308,Trụ dừng,Quốc lộ 22,No,No
134_1,267,400,HCC 014,10.961.317,106.501.617,Điện lực Củ Chi - Ngã 3 Việt Kiều,"13, 74, 94",DlCC-N3VK 400 Ql22,Đang khai thác,1003648,Trụ dừng,Quốc lộ 22,No,No
134_1,267,734,HCC 017,1.096.765,106.488.319,Cầu vượt Củ Chi,"74, 94",CvCC 734 Ql22,Đang khai thác,1001311,Trụ dừng,Quốc lộ 22,No,No
134_1,267,Bến xe Củ Chi,BX 63,10.971.617,106.482.099,Bến xe Củ Chi,"100, 107, 126, 13, 70-1, 74, 79, 83, 87, 94",BxCC BxCC Ql22,Đang khai thác,100732,Bến xe,Quốc lộ 22,Yes,Yes
134_1,268,Bến xe Củ Chi,BX 63,10.971.617,106.482.099,Bến xe Củ Chi,"100, 107, 126, 13, 70-1, 74, 79, 83, 87, 94",BxCC BxCC Ql22,Đang khai thác,200732,Bến xe,Quốc lộ 22,Yes,Yes
134_1,268,607,HCC 038,10.967.041,10.648.903,Trường trung học cơ sở Củ Chi,"13, 74, 94",TthcsCC 607 Ql22,Đang khai thác,2001387,Trụ dừng,Quốc lộ 22,No,No
